id,year,area[m2],g_value[1],orientation[degree],tilt[degree],shading[1]
120812,1958,4.6042746624,0.75,180.0,90.0,0.75
120812,1958,4.6042746624,0.75,270.0,90.0,0.75
120812,1969,4.0636834855199995,0.75,0.0,90.0,0.75
120812,1969,4.0636834855199995,0.75,90.0,90.0,0.75
120812,1969,4.0636834855199995,0.75,180.0,90.0,0.75
120812,1969,4.0636834855199995,0.75,270.0,90.0,0.75
120812,1979,2.5693497,0.75,0.0,90.0,0.75
120812,1979,2.5693497,0.75,90.0,90.0,0.75
120812,1979,2.5693497,0.75,180.0,90.0,0.75
120812,1979,2.5693497,0.75,270.0,90.0,0.75
120812,1984,4.069849924800001,0.75,0.0,90.0,0.75
120812,1984,4.069849924800001,0.75,90.0,90.0,0.75
120812,1984,4.069849924800001,0.75,180.0,90.0,0.75
120812,1984,4.069849924800001,0.75,270.0,90.0,0.75
120812,1995,5.4675761616,0.6,0.0,90.0,0.6
120812,1995,5.4675761616,0.6,90.0,90.0,0.6
120812,1995,5.4675761616,0.6,180.0,90.0,0.6
120812,1995,5.4675761616,0.6,270.0,90.0,0.6
120812,2002,3.956798538,0.6,0.0,90.0,0.6
120812,2002,3.956798538,0.6,90.0,90.0,0.6
120812,2002,3.956798538,0.6,180.0,90.0,0.6
120812,2002,3.956798538,0.6,270.0,90.0,0.6
120812,2009,3.956798538,0.6,0.0,90.0,0.6
120812,2009,3.956798538,0.6,90.0,90.0,0.6
120812,2009,3.956798538,0.6,180.0,90.0,0.6
120812,2009,3.956798538,0.6,270.0,90.0,0.6
122548,1918,12.03691270032,0.75,0.0,90.0,0.75
122548,1918,12.03691270032,0.75,90.0,90.0,0.75
122548,1918,12.03691270032,0.75,180.0,90.0,0.75
122548,1918,12.03691270032,0.75,270.0,90.0,0.75
122548,1919,13.26360444048,0.75,0.0,90.0,0.75
122548,1919,13.26360444048,0.75,90.0,90.0,0.75
122548,1919,13.26360444048,0.75,180.0,90.0,0.75
122548,1919,13.26360444048,0.75,270.0,90.0,0.75
122548,1949,12.726926804160001,0.75,0.0,90.0,0.75
122548,1949,12.726926804160001,0.75,90.0,90.0,0.75
122548,1949,12.726926804160001,0.75,180.0,90.0,0.75
122548,1949,12.726926804160001,0.75,270.0,90.0,0.75
122548,1958,17.173684362240003,0.75,0.0,90.0,0.75
122548,1958,17.173684362240003,0.75,90.0,90.0,0.75
122548,1958,17.173684362240003,0.75,180.0,90.0,0.75
122548,1958,17.173684362240003,0.75,270.0,90.0,0.75
122548,1969,15.157309814352,0.75,0.0,90.0,0.75
122548,1969,15.157309814352,0.75,90.0,90.0,0.75
122548,1969,15.157309814352,0.75,180.0,90.0,0.75
122548,1969,15.157309814352,0.75,270.0,90.0,0.75
122548,1979,9.58352922,0.75,0.0,90.0,0.75
122548,1979,9.58352922,0.75,90.0,90.0,0.75
122548,1979,9.58352922,0.75,180.0,90.0,0.75
122548,1979,9.58352922,0.75,270.0,90.0,0.75
122548,1984,15.180310284480003,0.75,0.0,90.0,0.75
122548,1984,15.180310284480003,0.75,90.0,90.0,0.75
122548,1984,15.180310284480003,0.75,180.0,90.0,0.75
122548,1984,15.180310284480003,0.75,270.0,90.0,0.75
122548,1995,20.39375018016,0.6,0.0,90.0,0.6
122548,1995,20.39375018016,0.6,90.0,90.0,0.6
122548,1995,20.39375018016,0.6,180.0,90.0,0.6
122548,1995,20.39375018016,0.6,270.0,90.0,0.6
122548,2002,14.758634998800002,0.6,0.0,90.0,0.6
122548,2002,14.758634998800002,0.6,90.0,90.0,0.6
122548,2002,14.758634998800002,0.6,180.0,90.0,0.6
122548,2002,14.758634998800002,0.6,270.0,90.0,0.6
122548,2009,14.758634998800002,0.6,0.0,90.0,0.6
122548,2009,14.758634998800002,0.6,90.0,90.0,0.6
122548,2009,14.758634998800002,0.6,180.0,90.0,0.6
122548,2009,14.758634998800002,0.6,270.0,90.0,0.6
122722,1918,12.03691270032,0.75,0.0,90.0,0.75
122722,1918,12.03691270032,0.75,90.0,90.0,0.75
122722,1918,12.03691270032,0.75,180.0,90.0,0.75
122722,1918,12.03691270032,0.75,270.0,90.0,0.75
122722,1919,13.26360444048,0.75,0.0,90.0,0.75
122722,1919,13.26360444048,0.75,90.0,90.0,0.75
122722,1919,13.26360444048,0.75,180.0,90.0,0.75
122722,1919,13.26360444048,0.75,270.0,90.0,0.75
122722,1949,12.726926804160001,0.75,0.0,90.0,0.75
122722,1949,12.726926804160001,0.75,90.0,90.0,0.75
122722,1949,12.726926804160001,0.75,180.0,90.0,0.75
122722,1949,12.726926804160001,0.75,270.0,90.0,0.75
122722,1958,17.173684362240003,0.75,0.0,90.0,0.75
122722,1958,17.173684362240003,0.75,90.0,90.0,0.75
122722,1958,17.173684362240003,0.75,180.0,90.0,0.75
122722,1958,17.173684362240003,0.75,270.0,90.0,0.75
122722,1969,15.157309814352,0.75,0.0,90.0,0.75
122722,1969,15.157309814352,0.75,90.0,90.0,0.75
122722,1969,15.157309814352,0.75,180.0,90.0,0.75
122722,1969,15.157309814352,0.75,270.0,90.0,0.75
122722,1979,9.58352922,0.75,0.0,90.0,0.75
122722,1979,9.58352922,0.75,90.0,90.0,0.75
122722,1979,9.58352922,0.75,180.0,90.0,0.75
122722,1979,9.58352922,0.75,270.0,90.0,0.75
122722,1984,15.180310284480003,0.75,0.0,90.0,0.75
122722,1984,15.180310284480003,0.75,90.0,90.0,0.75
122722,1984,15.180310284480003,0.75,180.0,90.0,0.75
122722,1984,15.180310284480003,0.75,270.0,90.0,0.75
122722,1995,20.39375018016,0.6,0.0,90.0,0.6
122722,1995,20.39375018016,0.6,90.0,90.0,0.6
122722,1995,20.39375018016,0.6,180.0,90.0,0.6
122722,1995,20.39375018016,0.6,270.0,90.0,0.6
122722,2002,14.758634998800002,0.6,0.0,90.0,0.6
122722,2002,14.758634998800002,0.6,90.0,90.0,0.6
122722,2002,14.758634998800002,0.6,180.0,90.0,0.6
122722,2002,14.758634998800002,0.6,270.0,90.0,0.6
122722,2009,14.758634998800002,0.6,0.0,90.0,0.6
122722,2009,14.758634998800002,0.6,90.0,90.0,0.6
122722,2009,14.758634998800002,0.6,180.0,90.0,0.6
122722,2009,14.758634998800002,0.6,270.0,90.0,0.6
146911,1918,6.162490900800001,0.75,0.0,90.0,0.75
146911,1918,6.162490900800001,0.75,90.0,90.0,0.75
146911,1918,6.162490900800001,0.75,180.0,90.0,0.75
146911,1918,6.162490900800001,0.75,270.0,90.0,0.75
146911,1919,6.7905154512,0.75,0.0,90.0,0.75
