climate_zone,avg_cooling_season[C],avg_heating_season[C],max_timestep_fluctuation[C],timestamp_of_max_fluctuation
cold,19.538138843500363,-2.718503777952481,2.125,2018-07-12 16:15:00
very cold,19.367706398917594,-4.506639868473595,1.950000000000001,2018-05-07 07:15:00
hot dry,27.565569204533663,13.504132856955673,2.6099999999999994,2018-05-15 19:15:00
hot humid,25.713201150474433,13.599853902359971,2.316666666666668,2018-02-25 05:45:00
mixed dry,23.006259326261368,7.487725776336478,2.6625000000000005,2018-02-04 15:00:00
marine,14.694445621024462,8.494647346748355,2.0999999999999996,2018-12-14 07:15:00
