filename,year,inhabitants,heating:demand[kWh]_mean,heating:demand[kWh]_std,heating:load_max[kW]_mean,heating:load_max[kW]_std,cooling:demand[kWh]_mean,cooling:demand[kWh]_std,cooling:load_max[kW]_mean,cooling:load_max[kW]_std,resistance[K W-1]_mean,resistance[K W-1]_std,capacitance[J K-1]_mean,capacitance[J K-1]_std
G2700270_very_cold.csv,1979,4,102350.38,20144.01,37.01,7.49,2566.35,1197.28,21.89,21.37,0.0,0.0,113046163.43,35150989.88
G2700270_very_cold.csv,1979,5,65961.1,26325.58,27.68,15.24,3108.84,2502.2,110.39,143.11,0.0,0.0,80376295.48,58383589.68
G2700270_very_cold.csv,1979,7,159013.18,,87.64,,950.2,,10.69,,0.0,,147237597.88,
G2700270_very_cold.csv,1979,8,188771.28,,70.56,,450.11,,13.51,,0.0,,283178043.16,
G2700270_very_cold.csv,1984,1,148926.32,241404.89,35.01,37.41,102431.63,246179.73,62.57,61.5,0.0,0.0,44456216.77,23995826.56
G2700270_very_cold.csv,1984,2,86330.71,56969.64,31.98,20.41,3567.58,4425.17,96.71,178.34,0.0,0.0,80503886.65,77744253.79
G2700270_very_cold.csv,1984,3,118259.33,56425.83,47.96,25.89,3146.07,2619.97,33.8,63.53,0.0,0.0,124748624.91,76148680.21
G2700270_very_cold.csv,1984,4,94163.93,18717.01,34.06,7.29,2425.49,889.44,14.67,9.91,0.0,0.0,84270313.06,34913883.3
G2700270_very_cold.csv,1984,5,58081.49,22503.92,24.29,13.1,2869.97,2207.24,69.21,93.8,0.0,0.0,54644276.78,39692411.99
G2700270_very_cold.csv,1984,7,138697.59,,69.45,,998.94,,9.31,,0.0,,100100309.47,
G2700270_very_cold.csv,1984,8,190672.98,,71.18,,568.98,,13.63,,0.0,,235971753.34,
G2700270_very_cold.csv,1995,1,249037.66,529515.94,47.33,84.0,218027.48,531588.65,125.49,106.33,0.01,0.0,80504789.0,33664193.67
G2700270_very_cold.csv,1995,2,54721.18,29625.93,20.42,10.5,1934.09,2577.55,175.1,294.22,0.0,0.0,146177772.26,107512523.12
G2700270_very_cold.csv,1995,3,70257.41,29550.59,33.6,24.62,1683.35,1845.82,67.83,164.22,0.0,0.0,202528926.12,105619810.03
G2700270_very_cold.csv,1995,4,59874.96,10834.31,21.75,4.11,1318.77,897.91,33.81,48.91,0.0,0.0,153563427.01,39609983.03
G2700270_very_cold.csv,1995,5,39404.95,13605.11,16.59,8.25,1561.73,1265.24,183.43,222.57,0.0,0.0,115457971.14,83866154.47
G2700270_very_cold.csv,1995,7,91323.49,,81.5,,268.84,,6.16,,0.0,,211502088.09,
G2700270_very_cold.csv,1995,8,106008.68,,39.87,,16.31,,4.85,,0.0,,355071022.63,
G2700270_very_cold.csv,2002,1,247034.14,543791.91,45.25,86.48,223282.6,545142.09,129.66,109.05,0.01,0.0,82035316.31,34116152.94
G2700270_very_cold.csv,2002,2,40065.66,22816.09,14.98,8.09,1403.03,2017.99,180.42,302.4,0.01,0.0,148967372.11,108693548.21
G2700270_very_cold.csv,2002,3,52719.64,22401.64,27.38,23.99,1189.37,1316.78,69.52,172.28,0.0,0.0,205756724.57,106841242.03
G2700270_very_cold.csv,2002,4,43594.77,7124.32,15.88,2.89,905.12,680.54,35.22,53.91,0.0,0.0,156508491.98,39923620.16
G2700270_very_cold.csv,2002,5,28256.72,8241.59,11.88,5.29,1042.32,804.26,193.08,231.55,0.01,0.0,118092593.22,85779886.54
G2700270_very_cold.csv,2002,7,62786.01,,73.41,,108.2,,4.25,,0.0,,216328329.76,
G2700270_very_cold.csv,2002,8,80652.55,,30.4,,0.0,,0.0,,0.0,,359897264.3,
G2700270_very_cold.csv,2009,1,291663.55,595565.84,52.41,94.68,267740.9,597202.5,121.98,120.09,0.01,0.0,82452039.54,38125941.66
G2700270_very_cold.csv,2009,2,40065.66,22816.09,14.98,8.09,1403.03,2017.99,180.42,302.4,0.01,0.0,148967372.11,108693548.21
G2700270_very_cold.csv,2009,3,52719.64,22401.64,27.38,23.99,1189.37,1316.78,69.52,172.28,0.0,0.0,205756724.57,106841242.03
G2700270_very_cold.csv,2009,4,43594.77,7124.32,15.88,2.89,905.12,680.54,35.22,53.91,0.0,0.0,156508491.98,39923620.16
