id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2],heating_demand_error,cooling_demand_error,heating_demand_rel_error,cooling_demand_rel_error,fit_score
306536,1969,hot dry,TX,1,0.0012646707699625,256966647.8502248,202.15701504,1,geoma,G4802650_hot_dry.csv,1455.0,2930.2,12774.5,1643.8,7.2,14.5,63.2,8.1,1475.2,11130.7,0.5,6.77,3.635
312829,1969,hot dry,TX,2,0.0012646707699625,256966647.8502248,202.15701504,1,geoma,G4802650_hot_dry.csv,358.8,590.7,154626.3,2553.3,1.8,2.9,764.9,12.6,231.9,152073.0,0.39,59.56,29.975
317237,1979,hot dry,TX,4,0.0014326289412868,144977550.1166752,157.00613760000002,2,geoma,G4802650_hot_dry.csv,2066.2,2160.4,217767.4,2142.0,13.2,13.8,1387.0,13.6,94.2,215625.4,0.04,100.67,50.355000000000004
321391,1919,mixed dry,NM,2,0.0013448528936059,97455945.01599,157.00613760000002,1,geoma,G3500090_mixed_dry.csv,5257.9,5479.3,12440.8,705.7,33.5,34.9,79.2,4.5,221.4,11735.1,0.04,16.63,8.334999999999999
332001,1984,marine,OR,2,0.0014196710474064,120809531.3975104,157.00613760000002,2,geoma,G4100070_marine.csv,4678.6,5030.5,1711.8,8.2,29.8,32.0,10.9,0.1,351.9,1703.6,0.07,207.76,103.91499999999999
343494,1919,mixed dry,NM,5,0.0009439214853629,160566524.60103002,157.00613760000002,2,geoma,G3500090_mixed_dry.csv,18292.8,15987.9,69218.1,1015.7,116.5,101.8,440.9,6.5,2304.9,68202.4,0.14,67.15,33.645
349621,1919,mixed dry,NM,2,0.0018629519591755,70352812.37840699,113.3417088,1,geoma,G3500090_mixed_dry.csv,1879.7,1698.3,61469.1,1496.8,16.6,15.0,542.3,13.2,181.4,59972.3,0.11,40.07,20.09
363481,1984,hot dry,TX,2,0.0007268234080935,235971753.33916083,306.67293504,2,geoma,G4802650_hot_dry.csv,615.5,907.8,29919.8,5285.9,2.0,3.0,97.6,17.2,292.3,24633.9,0.32,4.66,2.49
382272,1919,mixed dry,NM,2,0.0004832557740876,313627276.7502959,306.67293504,2,geoma,G3500090_mixed_dry.csv,34080.4,23003.9,122537.4,1189.8,111.1,75.0,399.6,3.9,11076.5,121347.6,0.48,101.99,51.235
389898,1984,mixed dry,NM,2,0.0017543121860707,65985541.77705026,202.15701504,1,geoma,G3500090_mixed_dry.csv,5011.1,6436.6,206485.6,1874.7,24.8,31.8,1021.4,9.3,1425.5,204610.9,0.22,109.14,54.68
392777,1984,marine,OR,2,0.0014196710474064,120809531.3975104,157.00613760000002,2,geoma,G4100070_marine.csv,7172.7,7427.9,71433.3,16.5,45.7,47.3,455.0,0.1,255.2,71416.8,0.03,4328.29,2164.16
403915,2009,mixed dry,NM,1,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G3500090_mixed_dry.csv,7755.2,10741.0,16960.0,485.1,49.4,68.4,108.0,3.1,2985.8,16474.9,0.28,33.96,17.12
412669,1979,hot dry,TX,2,0.0019481619559503,75380654.47203517,157.00613760000002,1,geoma,G4802650_hot_dry.csv,876.2,1054.9,225893.3,2542.8,5.6,6.7,1438.8,16.2,178.7,223350.5,0.17,87.84,44.005
416967,1995,cold,WI,1,0.0049108090629254,78167993.78219059,113.3417088,1,geoma,G5500950_cold.csv,7094.9,10159.4,25807.6,463.7,62.6,89.6,227.7,4.1,3064.5,25343.9,0.3,54.66,27.479999999999997
418445,2009,marine,OR,1,0.0011210764731965,536987074.8323704,761.2475097600001,1,geoma,G4100070_marine.csv,5287.7,5208.7,44289.0,0.4,6.9,6.8,58.2,0.0,79.0,44288.6,0.02,110721.5,55360.76
44038,1984,hot dry,TX,2,0.0043134274767118,26836950.58487568,82.2191904,1,geoma,G4802650_hot_dry.csv,51.6,130.1,12559.3,1626.3,0.6,1.6,152.8,19.8,78.5,10933.0,0.6,6.72,3.6599999999999997
454753,1984,hot dry,TX,3,0.0031290027187622,36995570.29779472,113.3417088,1,geoma,G4802650_hot_dry.csv,69.9,175.5,15669.8,1705.7,0.6,1.5,138.3,15.0,105.6,13964.1,0.6,8.19,4.395
462872,1984,mixed dry,NM,1,0.0031290027187622,36995570.29779472,113.3417088,1,geoma,G3500090_mixed_dry.csv,3148.5,3220.8,115900.7,532.8,27.8,28.4,1022.6,4.7,72.3,115367.9,0.02,216.53,108.275
478783,2002,hot dry,TX,2,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4802650_hot_dry.csv,1438.4,770.9,32281.3,1622.9,9.2,4.9,205.6,10.3,667.5,30658.4,0.87,18.89,9.88
481776,1984,hot dry,TX,2,0.0014196710474064,120809531.3975104,157.00613760000002,2,geoma,G4802650_hot_dry.csv,4306.2,7802.5,21470.6,1928.8,27.4,49.7,136.8,12.3,3496.3,19541.8,0.45,10.13,5.29
