id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2],heating_demand_error,cooling_demand_error,heating_demand_rel_error,cooling_demand_rel_error,fit_score
302452,2002,marine,OR,2,0.0024700878363534,268788785.50693774,202.15701504,3,geoma,G4100070_marine.csv,8762.8,5528.4,10253.7,165.2,43.3,27.3,50.7,0.8,3234.4,10088.5,0.59,61.07,30.830000000000002
306536,1918,hot dry,TX,1,0.0008023034829663,194584596.29176173,202.15701504,1,geoma,G4802650_hot_dry.csv,9986.1,2930.2,9920.3,1643.8,49.4,14.5,49.1,8.1,7055.9,8276.5,2.41,5.03,3.72
312829,2009,hot dry,TX,2,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,G4802650_hot_dry.csv,84.5,590.7,41573.2,2553.3,0.4,2.9,205.6,12.6,506.2,39019.9,0.86,15.28,8.07
317237,2009,hot dry,TX,4,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4802650_hot_dry.csv,1692.1,2160.4,26846.9,2142.0,10.8,13.8,171.0,13.6,468.3,24704.9,0.22,11.53,5.875
321391,1918,mixed dry,NM,2,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G3500090_mixed_dry.csv,11624.4,5479.3,10155.9,705.7,74.0,34.9,64.7,4.5,6145.1,9450.2,1.12,13.39,7.255000000000001
332001,1949,marine,OR,2,0.0007118618616308,170306715.9527039,157.00613760000002,2,geoma,G4100070_marine.csv,28386.8,5030.5,431.4,8.2,180.8,32.0,2.7,0.1,23356.3,423.2,4.64,51.61,28.125
343494,2002,mixed dry,NM,5,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G3500090_mixed_dry.csv,2186.7,15987.9,21123.3,1015.7,13.9,101.8,134.5,6.5,13801.2,20107.6,0.86,19.8,10.33
349621,2009,mixed dry,NM,2,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G3500090_mixed_dry.csv,23.7,1698.3,20228.6,1496.8,0.2,15.0,178.5,13.2,1674.6,18731.8,0.99,12.51,6.75
363481,1949,hot dry,TX,2,0.0003644491203138,332652348.7336542,306.67293504,2,geoma,G4802650_hot_dry.csv,8223.4,907.8,21405.7,5285.9,26.8,3.0,69.8,17.2,7315.6,16119.8,8.06,3.05,5.555
382272,2002,mixed dry,NM,2,0.0018166984695585,359897264.29509693,306.67293504,2,geoma,G3500090_mixed_dry.csv,7693.4,23003.9,36193.8,1189.8,25.1,75.0,118.0,3.9,15310.5,35004.0,0.67,29.42,15.045000000000002
389898,2009,mixed dry,NM,2,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,G3500090_mixed_dry.csv,839.6,6436.6,31470.4,1874.7,4.2,31.8,155.7,9.3,5597.0,29595.7,0.87,15.79,8.33
392777,2002,marine,OR,2,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4100070_marine.csv,5506.6,7427.9,7118.0,16.5,35.1,47.3,45.3,0.1,1921.3,7101.5,0.26,430.39,215.325
403915,2009,mixed dry,NM,1,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G3500090_mixed_dry.csv,7755.2,10741.0,16960.0,485.1,49.4,68.4,108.0,3.1,2985.8,16474.9,0.28,33.96,17.12
412669,2009,hot dry,TX,2,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4802650_hot_dry.csv,132.4,1054.9,28716.5,2542.8,0.8,6.7,182.9,16.2,922.5,26173.7,0.87,10.29,5.579999999999999
416967,2002,cold,WI,1,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G5500950_cold.csv,6269.8,10159.4,10676.2,463.7,55.3,89.6,94.2,4.1,3889.6,10212.5,0.38,22.02,11.2
418445,2009,marine,OR,1,0.0011210764731965,536987074.8323704,761.2475097600001,1,geoma,G4100070_marine.csv,5287.7,5208.7,44289.0,0.4,6.9,6.8,58.2,0.0,79.0,44288.6,0.02,110721.5,55360.76
44038,1918,hot dry,TX,2,0.0019726693547284,79139415.31167698,82.2191904,1,geoma,G4802650_hot_dry.csv,612.2,130.1,8701.4,1626.3,7.4,1.6,105.8,19.8,482.1,7075.1,3.71,4.35,4.029999999999999
454753,1918,hot dry,TX,3,0.0014309937532251,109096143.1415208,113.3417088,1,geoma,G4802650_hot_dry.csv,979.6,175.5,10592.2,1705.7,8.6,1.5,93.5,15.0,804.1,8886.5,4.58,5.21,4.895
462872,2009,mixed dry,NM,1,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G3500090_mixed_dry.csv,269.5,3220.8,17472.4,532.8,2.4,28.4,154.2,4.7,2951.3,16939.6,0.92,31.79,16.355
478783,2002,hot dry,TX,2,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4802650_hot_dry.csv,1438.4,770.9,32281.3,1622.9,9.2,4.9,205.6,10.3,667.5,30658.4,0.87,18.89,9.88
481776,2002,hot dry,TX,2,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4802650_hot_dry.csv,3902.6,7802.5,13593.9,1928.8,24.9,49.7,86.6,12.3,3899.9,11665.1,0.5,6.05,3.275
482749,1918,marine,OR,2,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G4100070_marine.csv,25071.4,9098.7,1133.2,15.6,159.7,58.0,7.2,0.1,15972.7,1117.6,1.76,71.64,36.7
483908,2002,marine,OR,2,0.0027559382573588,237242183.30994573,202.15701504,2,geoma,G4100070_marine.csv,9866.5,8491.4,8734.1,3.6,48.8,42.0,43.2,0.0,1375.1,8730.5,0.16,2425.14,1212.6499999999999
497907,1918,hot dry,TX,3,0.0027579974390753,56604802.13818253,58.80762432,1,geoma,G4802650_hot_dry.csv,1770.8,471.2,8731.1,1918.6,30.1,8.0,148.5,32.6,1299.6,6812.5,2.76,3.55,3.155
509301,2002,marine,OR,1,0.0027559382573588,237242183.30994573,202.15701504,2,geoma,G4100070_marine.csv,7550.9,6133.0,11291.8,141.4,37.4,30.3,55.9,0.7,1417.9,11150.4,0.23,78.86,39.545
