id,year,climate_zone,state,inhabitants,resistance[K W-1],capacitance[J K-1],area[m2],stories,method,filename,heating_demand_simulated[kWh],heating_demand_real[kWh],cooling_demand_simulated[kWh],cooling_demand_real[kWh],heating_demand_simulated[kWh]/area[m2],heating_demand_real[kWh]/area[m2],cooling_demand_simulated[kWh]/area[m2],cooling_demand_real[kWh]/area[m2],heating_demand_error,cooling_demand_error,heating_demand_rel_error,cooling_demand_rel_error,fit_score
392777,2002,marine,OR,2,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4100070_marine.csv,5506.6,7427.9,7118.0,16.5,35.1,47.3,45.3,0.1,1921.3,7101.5,0.26,430.39,215.325
403915,2009,mixed dry,NM,1,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G3500090_mixed_dry.csv,7755.2,10741.0,16960.0,485.1,49.4,68.4,108.0,3.1,2985.8,16474.9,0.28,33.96,17.12
412669,2009,hot dry,TX,2,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4802650_hot_dry.csv,132.4,1054.9,28716.5,2542.8,0.8,6.7,182.9,16.2,922.5,26173.7,0.87,10.29,5.579999999999999
416967,2002,cold,WI,1,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G5500950_cold.csv,6269.8,10159.4,10676.2,463.7,55.3,89.6,94.2,4.1,3889.6,10212.5,0.38,22.02,11.2
418445,2009,marine,OR,1,0.0011210764731965,536987074.8323704,761.2475097600001,1,geoma,G4100070_marine.csv,5287.7,5208.7,44289.0,0.4,6.9,6.8,58.2,0.0,79.0,44288.6,0.02,110721.5,55360.76
44038,2009,hot dry,TX,2,0.0103797747134155,57997749.72255892,82.2191904,1,geoma,G4802650_hot_dry.csv,10.0,130.1,9317.9,1626.3,0.1,1.6,113.3,19.8,120.1,7691.6,0.92,4.73,2.825
454753,2009,hot dry,TX,3,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G4802650_hot_dry.csv,19.6,175.5,11610.9,1705.7,0.2,1.5,102.4,15.0,155.9,9905.2,0.89,5.81,3.3499999999999996
462872,2009,mixed dry,NM,1,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G3500090_mixed_dry.csv,269.5,3220.8,17472.4,532.8,2.4,28.4,154.2,4.7,2951.3,16939.6,0.92,31.79,16.355
478783,2002,hot dry,TX,2,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4802650_hot_dry.csv,1438.4,770.9,32281.3,1622.9,9.2,4.9,205.6,10.3,667.5,30658.4,0.87,18.89,9.88
481776,2002,hot dry,TX,2,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G4802650_hot_dry.csv,3902.6,7802.5,13593.9,1928.8,24.9,49.7,86.6,12.3,3899.9,11665.1,0.5,6.05,3.275
482749,1918,marine,OR,2,0.0010330250762927,151124985.171451,157.00613760000002,1,geoma,G4100070_marine.csv,25071.4,9098.7,1133.2,15.6,159.7,58.0,7.2,0.1,15972.7,1117.6,1.76,71.64,36.7
483908,2002,marine,OR,2,0.0027559382573588,237242183.30994573,202.15701504,2,geoma,G4100070_marine.csv,9866.5,8491.4,8734.1,3.6,48.8,42.0,43.2,0.0,1375.1,8730.5,0.16,2425.14,1212.6499999999999
497907,2002,hot dry,TX,3,0.0145120073007468,41483136.242237054,58.80762432,1,geoma,G4802650_hot_dry.csv,49.1,471.2,8761.4,1918.6,0.8,8.0,149.0,32.6,422.1,6842.8,0.9,3.57,2.235
509301,2002,marine,OR,1,0.0027559382573588,237242183.30994573,202.15701504,2,geoma,G4100070_marine.csv,7550.9,6133.0,11291.8,141.4,37.4,30.3,55.9,0.7,1417.9,11150.4,0.23,78.86,39.545
519767,2009,hot humid,MS,6,0.0034495308379169,174517522.6114965,247.40079552,1,geoma,G2800730_hot_humid.csv,1772.1,5922.4,18005.3,2216.9,7.2,23.9,72.8,9.0,4150.3,15788.4,0.7,7.12,3.91
525662,2009,marine,OR,3,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4100070_marine.csv,2866.4,3475.8,13087.2,271.9,18.3,22.1,83.4,1.7,609.4,12815.3,0.18,47.13,23.655
532637,2009,hot dry,TX,1,0.0042215535943808,142602376.71896973,202.15701504,1,geoma,G4802650_hot_dry.csv,221.4,1597.3,16658.1,2554.3,1.1,7.9,82.4,12.6,1375.9,14103.8,0.86,5.52,3.19
537345,2002,hot humid,MS,1,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G2800730_hot_humid.csv,1014.2,2125.0,22115.0,2344.5,8.9,18.7,195.1,20.7,1110.8,19770.5,0.52,8.43,4.475
544163,2009,hot humid,MS,2,0.0035484743479365,184255188.3243605,157.00613760000002,2,geoma,G2800730_hot_humid.csv,270.3,1358.0,24052.2,1787.2,1.7,8.6,153.2,11.4,1087.7,22265.0,0.8,12.46,6.630000000000001
55734,2009,hot humid,MS,2,0.0027559382573588,237242183.30994573,202.15701504,2,geoma,G2800730_hot_humid.csv,2489.4,3917.8,17143.7,2555.7,12.3,19.4,84.8,12.6,1428.4,14588.0,0.36,5.71,3.035
63875,2002,hot dry,TX,3,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4802650_hot_dry.csv,601.0,1942.8,29070.9,2236.4,3.8,12.4,185.2,14.2,1341.8,26834.5,0.69,12.0,6.345
68993,2009,marine,OR,1,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G4100070_marine.csv,753.2,999.7,4474.3,340.9,6.6,8.8,39.5,3.0,246.5,4133.4,0.25,12.12,6.185
71009,2002,marine,OR,6,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4100070_marine.csv,2200.7,5099.7,13738.5,166.9,14.0,32.5,87.5,1.1,2899.0,13571.6,0.57,81.32,40.94499999999999
71564,2009,mixed dry,NM,2,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G3500090_mixed_dry.csv,144.9,2308.7,16203.1,543.4,1.3,20.4,143.0,4.8,2163.8,15659.7,0.94,28.82,14.88
77361,2002,hot dry,TX,2,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G4802650_hot_dry.csv,466.0,1290.1,9428.7,3813.3,4.1,11.4,83.2,33.6,824.1,5615.4,0.64,1.47,1.055
80450,2009,cold,WI,4,0.0075295906732563,79951700.18251061,113.3417088,1,geoma,G5500950_cold.csv,5113.8,7476.8,11313.2,449.5,45.1,66.0,99.8,4.0,2363.0,10863.7,0.32,24.17,12.245000000000001
88955,2009,mixed dry,NM,2,0.0027559382573588,237242183.30994573,202.15701504,2,geoma,G3500090_mixed_dry.csv,10159.6,27607.3,24611.3,941.5,50.3,136.6,121.7,4.7,17447.7,23669.8,0.63,25.14,12.885
91152,2002,hot dry,TX,4,0.0054355624978537,110752765.00692044,157.00613760000002,1,geoma,G4802650_hot_dry.csv,284.6,1125.9,13033.1,2970.4,1.8,7.2,83.0,18.9,841.3,10062.7,0.75,3.39,2.0700000000000003
92135,2002,hot dry,TX,2,0.0103797747134155,57997749.72255892,82.2191904,1,geoma,G4802650_hot_dry.csv,290.2,1266.3,10912.1,2548.4,3.5,15.4,132.7,31.0,976.1,8363.7,0.77,3.28,2.025
97376,2009,hot humid,MS,1,0.0024700878363534,268788785.50693774,202.15701504,3,geoma,G2800730_hot_humid.csv,4674.8,3411.0,11725.4,1678.4,23.1,16.9,58.0,8.3,1263.8,10047.0,0.37,5.99,3.18
