datetime,power[W],heating_demand[W],total_power[W],cooling_demand[W]
2018-01-01 00:00:00,552.0,29792.0,11384.0,0.0
2018-01-01 00:15:00,552.0,30611.0,11384.0,0.0
2018-01-01 00:30:00,552.0,31247.0,11676.0,0.0
2018-01-01 00:45:00,468.0,31909.0,11900.0,0.0
2018-01-01 01:00:00,380.0,27376.0,12048.0,0.0
2018-01-01 01:15:00,380.0,28248.0,10300.0,0.0
2018-01-01 01:30:00,380.0,29253.0,10624.0,0.0
2018-01-01 01:45:00,380.0,30445.0,10992.0,0.0
2018-01-01 02:00:00,408.0,33554.0,11424.0,0.0
2018-01-01 02:15:00,408.0,34574.0,12588.0,0.0
2018-01-01 02:30:00,408.0,35186.0,12956.0,0.0
2018-01-01 02:45:00,408.0,35721.0,13176.0,0.0
2018-01-01 03:00:00,372.0,33279.0,13364.0,0.0
2018-01-01 03:15:00,372.0,32847.0,12448.0,0.0
2018-01-01 03:30:00,400.0,32914.0,12284.0,0.0
2018-01-01 03:45:00,400.0,32951.0,12324.0,0.0
2018-01-01 04:00:00,396.0,33365.0,12332.0,0.0
2018-01-01 04:15:00,396.0,33432.0,12464.0,0.0
2018-01-01 04:30:00,396.0,33586.0,12492.0,0.0
2018-01-01 04:45:00,372.0,34151.0,12548.0,0.0
2018-01-01 05:00:00,372.0,34339.0,12728.0,0.0
2018-01-01 05:15:00,372.0,34826.0,12796.0,0.0
2018-01-01 05:30:00,372.0,35214.0,12976.0,0.0
2018-01-01 05:45:00,372.0,35657.0,13116.0,0.0
2018-01-01 06:00:00,372.0,35769.0,13280.0,0.0
2018-01-01 06:15:00,372.0,35837.0,13328.0,0.0
2018-01-01 06:30:00,372.0,35894.0,13352.0,0.0
2018-01-01 06:45:00,372.0,35940.0,13376.0,0.0
2018-01-01 07:00:00,532.0,41075.0,13400.0,0.0
2018-01-01 07:15:00,532.0,42505.0,15420.0,0.0
2018-01-01 07:30:00,648.0,42235.0,16356.000000000002,0.0
2018-01-01 07:45:00,648.0,42045.0,16372.0,0.0
2018-01-01 08:00:00,692.0,50754.33700000005,16308.0,0.0
2018-01-01 08:15:00,692.0,49577.0,21300.0,0.0
2018-01-01 08:30:00,692.0,50754.33700000005,19096.0,0.0
2018-01-01 08:45:00,692.0,48458.0,19600.0,0.0
2018-01-01 09:00:00,704.0,47015.0,18676.0,0.0
2018-01-01 09:15:00,704.0,45672.0,18180.0,0.0
2018-01-01 09:30:00,704.0,44583.0,17704.0,0.0
2018-01-01 09:45:00,704.0,43921.0,17320.0,0.0
2018-01-01 10:00:00,880.0,22977.0,17072.0,0.0
2018-01-01 10:15:00,708.0,29763.0,9632.0,0.0
2018-01-01 10:30:00,544.0,27841.0,11924.0,0.0
2018-01-01 10:45:00,544.0,29096.0,11056.0,0.0
2018-01-01 11:00:00,540.0,29418.0,11508.0,0.0
2018-01-01 11:15:00,540.0,29138.0,11612.0,0.0
2018-01-01 11:30:00,376.0,29035.0,11504.0,0.0
2018-01-01 11:45:00,376.0,29131.0,11300.0,0.0
2018-01-01 12:00:00,376.0,28575.0,11320.0,0.0
2018-01-01 12:15:00,376.0,28437.0,11108.0,0.0
2018-01-01 12:30:00,376.0,28281.0,11052.0,0.0
2018-01-01 12:45:00,376.0,28163.0,10980.0,0.0
2018-01-01 13:00:00,376.0,28216.0,10924.0,0.0
2018-01-01 13:15:00,376.0,28236.0,10936.0,0.0
2018-01-01 13:30:00,376.0,28212.0,10940.0,0.0
2018-01-01 13:45:00,376.0,28233.0,10928.0,0.0
2018-01-01 14:00:00,376.0,27798.0,10928.0,0.0
2018-01-01 14:15:00,376.0,27296.0,10768.0,0.0
2018-01-01 14:30:00,376.0,26772.0,10592.0,0.0
2018-01-01 14:45:00,376.0,26381.0,10388.0,0.0
2018-01-01 15:00:00,376.0,26035.0,9844.0,0.0
2018-01-01 15:15:00,376.0,25535.0,9720.0,0.0
2018-01-01 15:30:00,536.0,24783.0,9556.0,0.0
2018-01-01 15:45:00,536.0,24358.0,9464.0,0.0
2018-01-01 16:00:00,552.0,24059.0,9320.0,0.0
2018-01-01 16:15:00,552.0,23866.0,9240.0,0.0
2018-01-01 16:30:00,736.0,23429.0,9164.0,0.0
2018-01-01 16:45:00,736.0,23281.0,9176.0,0.0
2018-01-01 17:00:00,796.0,23511.0,9116.0,0.0
2018-01-01 17:15:00,796.0,23917.0,9256.0,0.0
2018-01-01 17:30:00,588.0,25089.0,9416.0,0.0
2018-01-01 17:45:00,588.0,25873.0,9636.0,0.0
2018-01-01 18:00:00,652.0,44209.0,9932.0,0.0
2018-01-01 18:15:00,652.0,38626.0,16624.0,0.0
2018-01-01 18:30:00,652.0,39909.0,14620.0,0.0
2018-01-01 18:45:00,652.0,37846.0,15100.0,0.0
2018-01-01 19:00:00,696.0,36781.0,14360.0,0.0
2018-01-01 19:15:00,696.0,36258.0,14032.0,0.0
2018-01-01 19:30:00,696.0,36167.0,13836.0,0.0
2018-01-01 19:45:00,696.0,35888.0,13800.0,0.0
2018-01-01 20:00:00,696.0,35821.0,13692.0,0.0
2018-01-01 20:15:00,392.0,36452.0,13652.0,0.0
2018-01-01 20:30:00,596.0,36519.0,13988.0,0.0
2018-01-01 20:45:00,2020.0,35049.0,14220.0,0.0
2018-01-01 21:00:00,652.0,35725.0,15112.0,0.0
2018-01-01 21:15:00,652.0,35865.0,13996.0,0.0
2018-01-01 21:30:00,652.0,35655.0,14056.0,0.0
2018-01-01 21:45:00,652.0,35612.0,13996.0,0.0
2018-01-01 22:00:00,592.0,35561.0,13984.0,0.0
2018-01-01 22:15:00,592.0,35792.0,13920.0,0.0
2018-01-01 22:30:00,592.0,36101.0,14004.0,0.0
2018-01-01 22:45:00,592.0,36134.0,14116.0,0.0
2018-01-01 23:00:00,552.0,17031.0,14120.0,0.0
2018-01-01 23:15:00,552.0,24456.0,7148.0,0.0
2018-01-01 23:30:00,384.0,23284.0,9848.0,0.0
2018-01-01 23:45:00,384.0,25208.0,9252.0,0.0
2018-01-02 00:00:00,380.0,26482.0,9688.0,0.0
2018-01-02 00:15:00,380.0,27216.0,10000.0,0.0
2018-01-02 00:30:00,380.0,27785.0,10268.0,0.0
2018-01-02 00:45:00,380.0,28287.0,10472.0,0.0
2018-01-02 01:00:00,380.0,28812.0,10660.0,0.0
2018-01-02 01:15:00,380.0,29354.0,10852.0,0.0
2018-01-02 01:30:00,380.0,29722.0,11044.0,0.0
2018-01-02 01:45:00,380.0,30160.0,11168.0,0.0
2018-01-02 02:00:00,408.0,32896.0,11320.0,0.0
2018-01-02 02:15:00,408.0,33691.0,12336.0,0.0
2018-01-02 02:30:00,408.0,34084.0,12612.0,0.0
2018-01-02 02:45:00,408.0,34393.0,12740.0,0.0
2018-01-02 03:00:00,372.0,31935.0,12836.0,0.0
2018-01-02 03:15:00,372.0,31346.0,11896.0,0.0
2018-01-02 03:30:00,372.0,31124.0,11676.0,0.0
2018-01-02 03:45:00,372.0,30982.0,11588.0,0.0
2018-01-02 04:00:00,372.0,30863.0,11524.0,0.0
2018-01-02 04:15:00,372.0,30601.0,11464.0,0.0
2018-01-02 04:30:00,372.0,30350.0,11400.0,0.0
2018-01-02 04:45:00,372.0,30088.0,11332.0,0.0
2018-01-02 05:00:00,372.0,30191.0,11264.0,0.0
2018-01-02 05:15:00,372.0,30304.0,11316.0,0.0
2018-01-02 05:30:00,372.0,30385.0,11352.0,0.0
2018-01-02 05:45:00,372.0,30489.0,11380.0,0.0
2018-01-02 06:00:00,372.0,30826.0,11408.0,0.0
2018-01-02 06:15:00,372.0,31223.0,11524.0,0.0
2018-01-02 06:30:00,372.0,31675.0,11652.0,0.0
2018-01-02 06:45:00,372.0,32146.0,11788.0,0.0
2018-01-02 07:00:00,420.0,36789.0,11936.0,0.0
2018-01-02 07:15:00,420.0,37632.0,13616.0,0.0
2018-01-02 07:30:00,420.0,37744.0,13896.0,0.0
2018-01-02 07:45:00,420.0,37715.0,13908.0,0.0
2018-01-02 08:00:00,532.0,50754.33700000005,13864.0,0.0
2018-01-02 08:15:00,532.0,45222.0,18988.0,0.0
2018-01-02 08:30:00,532.0,46300.0,16600.0,0.0
2018-01-02 08:45:00,532.0,43926.0,16960.0,0.0
2018-01-02 09:00:00,376.0,42758.0,16100.000000000002,0.0
2018-01-02 09:15:00,376.0,42020.0,15516.0,0.0
2018-01-02 09:30:00,376.0,41354.0,15200.0,0.0
2018-01-02 09:45:00,376.0,41080.0,15312.0,0.0
2018-01-02 10:00:00,376.0,20194.0,15156.0,0.0
2018-01-02 10:15:00,376.0,27108.0,7816.0,0.0
2018-01-02 10:30:00,376.0,25252.0,10212.0,0.0
2018-01-02 10:45:00,376.0,26751.0,9552.0,0.0
2018-01-02 11:00:00,376.0,26937.0,10060.0,0.0
2018-01-02 11:15:00,376.0,26719.0,10112.0,0.0
2018-01-02 11:30:00,376.0,26304.0,9700.0,0.0
2018-01-02 11:45:00,376.0,25748.0,9404.0,0.0
2018-01-02 12:00:00,376.0,25603.0,9180.0,0.0
2018-01-02 12:15:00,376.0,25943.0,9088.0,0.0
2018-01-02 12:30:00,376.0,25584.0,9112.0,0.0
2018-01-02 12:45:00,376.0,25437.0,9288.0,0.0
2018-01-02 13:00:00,376.0,25397.0,9140.0,0.0
2018-01-02 13:15:00,376.0,25499.0,9024.0,0.0
2018-01-02 13:30:00,376.0,25608.0,8920.0,0.0
2018-01-02 13:45:00,376.0,25658.0,8816.0,0.0
2018-01-02 14:00:00,376.0,24822.0,8692.0,0.0
2018-01-02 14:15:00,376.0,23296.0,8292.0,0.0
2018-01-02 14:30:00,376.0,21845.0,7856.0,0.0
2018-01-02 14:45:00,376.0,20442.0,7436.0,0.0
2018-01-02 15:00:00,376.0,19231.0,6864.0,0.0
2018-01-02 15:15:00,376.0,18097.0,6268.0,0.0
2018-01-02 15:30:00,376.0,16922.0,5944.0,0.0
2018-01-02 15:45:00,376.0,15810.0,5608.0,0.0
2018-01-02 16:00:00,376.0,16004.0,5288.0,0.0
2018-01-02 16:15:00,376.0,16405.0,5376.0,0.0
2018-01-02 16:30:00,376.0,16889.0,5544.0,0.0
2018-01-02 16:45:00,376.0,17392.0,5736.0,0.0
2018-01-02 17:00:00,380.0,17704.0,5944.0,0.0
2018-01-02 17:15:00,380.0,18118.0,6088.0,0.0
2018-01-02 17:30:00,380.0,18642.0,6228.0,0.0
2018-01-02 17:45:00,380.0,19115.0,6408.0,0.0
2018-01-02 18:00:00,388.0,39423.0,6564.0,0.0
2018-01-02 18:15:00,388.0,33297.0,13148.0,0.0
2018-01-02 18:30:00,388.0,34645.0,11256.0,0.0
2018-01-02 18:45:00,388.0,32453.0,11784.0,0.0
2018-01-02 19:00:00,388.0,30923.0,11148.0,0.0
2018-01-02 19:15:00,388.0,29878.0,10712.0,0.0
2018-01-02 19:30:00,388.0,29088.0,10432.0,0.0
2018-01-02 19:45:00,696.0,27949.0,10228.0,0.0
2018-01-02 20:00:00,1004.0,27717.0,10212.0,0.0
2018-01-02 20:15:00,1004.0,28322.0,10484.0,0.0
2018-01-02 20:30:00,1004.0,29286.0,10720.0,0.0
2018-01-02 20:45:00,696.0,30965.0,11072.0,0.0
2018-01-02 21:00:00,652.0,31318.0,11368.0,0.0
2018-01-02 21:15:00,652.0,31423.0,11472.0,0.0
2018-01-02 21:30:00,652.0,31482.0,11520.0,0.0
2018-01-02 21:45:00,652.0,31587.0,11556.0,0.0
2018-01-02 22:00:00,592.0,31439.0,11600.0,0.0
2018-01-02 22:15:00,592.0,31208.0,11508.0,0.0
2018-01-02 22:30:00,592.0,30991.0,11452.0,0.0
2018-01-02 22:45:00,804.0,30398.0,11396.0,0.0
2018-01-02 23:00:00,724.0,10915.0,11424.0,0.0
2018-01-02 23:15:00,552.0,18850.0,4544.0,0.0
2018-01-02 23:30:00,552.0,17099.0,7164.0,0.0
2018-01-02 23:45:00,552.0,18858.0,6564.0,0.0
2018-01-03 00:00:00,468.0,19657.0,7188.0,0.0
2018-01-03 00:15:00,552.0,19824.0,7396.0,0.0
2018-01-03 00:30:00,552.0,20342.0,7560.0,0.0
2018-01-03 00:45:00,468.0,20431.0,8156.000000000001,0.0
2018-01-03 01:00:00,436.0,21129.0,8116.0,0.0
2018-01-03 01:15:00,436.0,21913.0,8348.0,0.0
2018-01-03 01:30:00,436.0,22629.0,8636.0,0.0
2018-01-03 01:45:00,436.0,22951.0,8896.0,0.0
2018-01-03 02:00:00,444.0,25670.0,9020.0,0.0
2018-01-03 02:15:00,408.0,26866.0,10012.0,0.0
2018-01-03 02:30:00,408.0,27568.0,10396.0,0.0
2018-01-03 02:45:00,408.0,27598.0,10644.0,0.0
2018-01-03 03:00:00,372.0,25584.0,10656.0,0.0
2018-01-03 03:15:00,372.0,25448.0,9916.0,0.0
2018-01-03 03:30:00,372.0,25670.0,9876.0,0.0
2018-01-03 03:45:00,372.0,26026.0,9964.0,0.0
2018-01-03 04:00:00,372.0,25946.0,10100.0,0.0
2018-01-03 04:15:00,372.0,25870.0,10076.0,0.0
2018-01-03 04:30:00,372.0,25840.0,10060.0,0.0
2018-01-03 04:45:00,372.0,25843.0,10056.0,0.0
2018-01-03 05:00:00,372.0,26325.0,10068.0,0.0
2018-01-03 05:15:00,372.0,26725.0,10248.0,0.0
2018-01-03 05:30:00,372.0,27137.0,10396.0,0.0
2018-01-03 05:45:00,372.0,27670.0,10548.0,0.0
