datetime,power[W],heating_demand[W],total_power[W],cooling_demand[W]
2018-01-01 00:00:00,936.0,1890.0,1384.0,0.0
2018-01-01 00:15:00,936.0,1843.0,1384.0,0.0
2018-01-01 00:30:00,936.0,1779.0,1372.0,0.0
2018-01-01 00:45:00,936.0,1733.0,1364.0,0.0
2018-01-01 01:00:00,788.0,1771.0,1352.0,0.0
2018-01-01 01:15:00,788.0,1787.0,1220.0,0.0
2018-01-01 01:30:00,788.0,1804.0,1228.0,0.0
2018-01-01 01:45:00,788.0,1821.0,1232.0,0.0
2018-01-01 02:00:00,696.0,1921.0,1236.0,0.0
2018-01-01 02:15:00,696.0,2061.0,1160.0,0.0
2018-01-01 02:30:00,520.0,2303.0,1192.0,0.0
2018-01-01 02:45:00,520.0,2580.0,1072.0,0.0
2018-01-01 03:00:00,516.0,1337.0,1564.0,0.0
2018-01-01 03:15:00,516.0,1402.0,836.0,0.0
2018-01-01 03:30:00,516.0,1417.0,856.0,0.0
2018-01-01 03:45:00,516.0,1465.0,860.0,0.0
2018-01-01 04:00:00,532.0,1496.0,872.0,0.0
2018-01-01 04:15:00,532.0,1544.0,892.0,0.0
2018-01-01 04:30:00,532.0,1625.0,900.0,0.0
2018-01-01 04:45:00,532.0,1706.0,920.0,0.0
2018-01-01 05:00:00,544.0,2171.0,940.0,0.0
2018-01-01 05:15:00,544.0,2188.0,1064.0,0.0
2018-01-01 05:30:00,544.0,2205.0,1068.0,0.0
2018-01-01 05:45:00,544.0,2222.0,1076.0,0.0
2018-01-01 06:00:00,528.0,1771.0,1076.0,0.0
2018-01-01 06:15:00,528.0,1747.0,952.0,0.0
2018-01-01 06:30:00,528.0,1724.0,948.0,0.0
2018-01-01 06:45:00,528.0,1701.0,944.0,0.0
2018-01-01 07:00:00,584.0,1711.0,940.0,0.0
2018-01-01 07:15:00,584.0,1763.0,1004.0,0.0
2018-01-01 07:30:00,584.0,1799.0,1008.0,0.0
2018-01-01 07:45:00,584.0,1852.0,1016.0,0.0
2018-01-01 08:00:00,652.0,1924.0,1020.0,0.0
2018-01-01 08:15:00,652.0,2004.0,1100.0,0.0
2018-01-01 08:30:00,772.0,2016.0,1112.0,0.0
2018-01-01 08:45:00,772.0,2081.0,1232.0,0.0
2018-01-01 09:00:00,832.0,2057.0,1240.0,0.0
2018-01-01 09:15:00,832.0,2046.0,1284.0,0.0
2018-01-01 09:30:00,832.0,2035.0,1280.0,0.0
2018-01-01 09:45:00,832.0,2024.0,1276.0,0.0
2018-01-01 10:00:00,800.0,2050.0,1272.0,0.0
2018-01-01 10:15:00,800.0,2128.0,1248.0,0.0
2018-01-01 10:30:00,800.0,2208.0,1264.0,0.0
2018-01-01 10:45:00,800.0,2328.0,1276.0,0.0
2018-01-01 11:00:00,2100.0,1659.0,1296.0,0.0
2018-01-01 11:15:00,2744.0,1434.0,2452.0,0.0
2018-01-01 11:30:00,2580.0,1420.0,3048.0,0.0
2018-01-01 11:45:00,2172.0,1504.0,2880.0,0.0
2018-01-01 12:00:00,504.0,1686.0,2488.0,0.0
2018-01-01 12:15:00,504.0,1639.0,852.0,0.0
2018-01-01 12:30:00,504.0,1472.0,836.0,0.0
2018-01-01 12:45:00,808.0,1283.0,800.0,0.0
2018-01-01 13:00:00,784.0,1252.0,1064.0,0.0
2018-01-01 13:15:00,784.0,1207.0,1040.0,0.0
2018-01-01 13:30:00,784.0,1202.0,1032.0,0.0
2018-01-01 13:45:00,784.0,1197.0,1032.0,0.0
2018-01-01 14:00:00,792.0,1769.0,1492.0,0.0
2018-01-01 14:15:00,792.0,1696.0,1612.0,0.0
2018-01-01 14:30:00,792.0,1566.0,1548.0,0.0
2018-01-01 14:45:00,792.0,952.0,1116.0,0.0
2018-01-01 15:00:00,812.0,888.0,992.0,0.0
2018-01-01 15:15:00,812.0,825.0,996.0,0.0
2018-01-01 15:30:00,812.0,764.0,984.0,0.0
2018-01-01 15:45:00,812.0,722.0,972.0,0.0
2018-01-01 16:00:00,812.0,661.0,964.0,0.0
2018-01-01 16:15:00,812.0,596.0,952.0,0.0
2018-01-01 16:30:00,812.0,533.0,940.0,0.0
2018-01-01 16:45:00,812.0,526.0,928.0,0.0
2018-01-01 17:00:00,828.0,448.0,928.0,0.0
2018-01-01 17:15:00,828.0,448.0,940.0,0.0
2018-01-01 17:30:00,828.0,430.0,936.0,0.0
2018-01-01 17:45:00,828.0,430.0,932.0,0.0
2018-01-01 18:00:00,976.0,466.0,932.0,0.0
