datetime,power[W],heating_demand[W],total_power[W],cooling_demand[W]
2018-01-01 00:00:00,708.0,15521.0,6764.0,0.0
2018-01-01 00:15:00,708.0,15422.0,6764.0,0.0
2018-01-01 00:30:00,708.0,15071.0,6736.0,0.0
2018-01-01 00:45:00,708.0,14741.0,6612.0,0.0
2018-01-01 01:00:00,660.0,20980.0,6504.0,0.0
2018-01-01 01:15:00,660.0,21684.0,8296.0,0.0
2018-01-01 01:30:00,660.0,21729.0,8552.0,0.0
2018-01-01 01:45:00,660.0,21631.0,8568.0,0.0
2018-01-01 02:00:00,656.0,21543.0,8532.0,0.0
2018-01-01 02:15:00,656.0,21589.0,8496.0,0.0
2018-01-01 02:30:00,656.0,21612.0,8508.0,0.0
2018-01-01 02:45:00,656.0,21614.0,8520.0,0.0
2018-01-01 03:00:00,684.0,9300.0,8520.0,0.0
2018-01-01 03:15:00,684.0,9333.0,4067.9999999999995,0.0
2018-01-01 03:30:00,684.0,8849.0,4080.0,0.0
2018-01-01 03:45:00,684.0,9884.0,3904.0,0.0
2018-01-01 04:00:00,676.0,10941.0,4280.0,0.0
2018-01-01 04:15:00,652.0,11780.0,4656.0,0.0
2018-01-01 04:30:00,652.0,12442.0,4936.0,0.0
2018-01-01 04:45:00,652.0,12995.0,5176.0,0.0
2018-01-01 05:00:00,652.0,13636.0,5380.0,0.0
2018-01-01 05:15:00,652.0,14210.0,5608.0,0.0
2018-01-01 05:30:00,652.0,14454.0,5816.0,0.0
2018-01-01 05:45:00,652.0,14753.0,5904.0,0.0
2018-01-01 06:00:00,688.0,15251.0,6012.0,0.0
2018-01-01 06:15:00,688.0,15352.0,6656.0,0.0
2018-01-01 06:30:00,688.0,16060.0,6692.0,0.0
2018-01-01 06:45:00,688.0,16877.0,6952.0,0.0
2018-01-01 07:00:00,764.0,17519.0,7244.0,0.0
2018-01-01 07:15:00,2272.0,16324.0,7540.0,0.0
2018-01-01 07:30:00,1572.0,16452.0,8600.0,0.0
2018-01-01 07:45:00,820.0,17209.0,7920.0,0.0
2018-01-01 08:00:00,736.0,18109.0,7436.0,0.0
2018-01-01 08:15:00,736.0,18383.0,7684.0,0.0
2018-01-01 08:30:00,736.0,18485.0,7796.0,0.0
2018-01-01 08:45:00,2244.0,16985.0,7844.0,0.0
2018-01-01 09:00:00,1944.0,16566.0,8816.0,0.0
2018-01-01 09:15:00,1908.0,15987.0,8376.0,0.0
2018-01-01 09:30:00,4900.0,11823.0,8140.000000000001,0.0
2018-01-01 09:45:00,4900.0,9905.0,9628.0,0.0
2018-01-01 10:00:00,4772.0,13732.0,8912.0,0.0
2018-01-01 10:15:00,688.0,19374.0,10124.0,0.0
2018-01-01 10:30:00,688.0,21887.0,8064.0,0.0
2018-01-01 10:45:00,688.0,22663.0,8964.0,0.0
2018-01-01 11:00:00,656.0,18460.0,9228.0,0.0
2018-01-01 11:15:00,656.0,15712.0,7652.0,0.0
2018-01-01 11:30:00,656.0,14507.0,6648.0,0.0
2018-01-01 11:45:00,656.0,14196.0,6212.0,0.0
2018-01-01 12:00:00,660.0,24465.0,6096.0,0.0
2018-01-01 12:15:00,660.0,26336.0,9736.0,0.0
2018-01-01 12:30:00,2168.0,25890.0,10376.0,0.0
2018-01-01 12:45:00,1492.0,23548.0,11680.0,0.0
2018-01-01 13:00:00,780.0,26406.0,10140.0,0.0
2018-01-01 13:15:00,864.0,27098.0,10400.0,0.0
2018-01-01 13:30:00,864.0,26522.0,10708.0,0.0
2018-01-01 13:45:00,864.0,25142.0,10492.0,0.0
2018-01-01 14:00:00,920.0,7463.0,9996.0,0.0
2018-01-01 14:15:00,920.0,4896.0,3896.0,0.0
2018-01-01 14:30:00,920.0,3297.0,3012.0,0.0
2018-01-01 14:45:00,920.0,3938.0,2464.0,0.0
2018-01-01 15:00:00,832.0,4888.0,2688.0,0.0
2018-01-01 15:15:00,748.0,5543.0,2936.0,0.0
2018-01-01 15:30:00,748.0,5796.0,3104.0,0.0
2018-01-01 15:45:00,748.0,5945.0,3204.0,0.0
2018-01-01 16:00:00,748.0,6185.0,3272.0,0.0
2018-01-01 16:15:00,748.0,6428.0,3376.0,0.0
2018-01-01 16:30:00,748.0,6647.0,3472.0,0.0
2018-01-01 16:45:00,748.0,6867.0,3560.0,0.0
2018-01-01 17:00:00,772.0,7265.0,3656.0,0.0
2018-01-01 17:15:00,772.0,7892.0,3832.0,0.0
2018-01-01 17:30:00,772.0,8418.0,4056.0,0.0
2018-01-01 17:45:00,2280.0,7783.0,4248.0,0.0
2018-01-01 18:00:00,3312.0,6069.0,5520.0,0.0
2018-01-01 18:15:00,3312.0,5832.0,5936.0,0.0
2018-01-01 18:30:00,1952.0,7619.0,5836.0,0.0
2018-01-01 18:45:00,1048.0,9749.0,5092.0,0.0
2018-01-01 19:00:00,1080.0,10243.0,4920.0,0.0
2018-01-01 19:15:00,1080.0,10668.0,5128.0,0.0
2018-01-01 19:30:00,1080.0,11005.0,5292.0,0.0
2018-01-01 19:45:00,2588.0,9863.0,5416.0,0.0
2018-01-01 20:00:00,1796.0,10100.0,6512.0,0.0
2018-01-01 20:15:00,1044.0,11154.0,5808.0,0.0
2018-01-01 20:30:00,1164.0,11496.0,5440.0,0.0
2018-01-01 20:45:00,1164.0,12149.0,5688.0,0.0
2018-01-01 21:00:00,1096.0,12037.0,5920.0,0.0
2018-01-01 21:15:00,1096.0,12011.0,5820.0,0.0
2018-01-01 21:30:00,1200.0,12417.0,5824.0,0.0
2018-01-01 21:45:00,1200.0,12337.0,6064.0,0.0
2018-01-01 22:00:00,1132.0,23328.0,6024.0,0.0
